# ID,Item Name,Data Value,Maximum Stack Size
308,Iron Leggings,0,1
309,Iron Boots,0,1
310,Diamond Helmet,0,1
311,Diamond Chestplate,0,1
312,Diamond Leggings,0,1
313,Diamond Boots,0,1
314,Gold Helmet,0,1
315,Gold Chestplate,0,1
316,Gold Leggings,0,1
317,Gold Boots,0,1
318,Flint,0,64
319,Raw Porkchop,0,64
320,Cooked Porkchop,0,64
321,Paintings,0,64
322,Golden Apple,0,1
323,Sign,0,1
324,Wooden Door,0,1
325,Bucket,0,1
326,Water Bucket,0,1
327,Lava Bucket,0,1
328,Minecart,0,1
329,Saddle,0,1
330,Iron Door,0,1
331,Redstone Dust,0,64
332,Snowball,0,16
333,Boat,0,1
334,Leather,0,64
335,Milk Bucket,0,1
336,Clay Brick,0,64
337,Clay Balls,0,64
338,Sugar Cane,0,64
339,Paper,0,64
340,Book,0,64
341,SlimeBall,0,64
342,Storage Minecart,0,1
343,Powered Minecart,0,1
344,Egg,0,16
345,Compass,0,1
346,Fishing Rod,0,1
347,Clock,0,1
348,Glowstone Dust,0,64
349,Raw Fish,0,64
350,Cooked Fish,0,64
351,Ink Sac,0,64
351,Rose Red,1,64
351,Cactus Green,2,64
351,Cocoa Beans,3,64
351,Lapis Lazuli,4,64
351,Purple Dye,5,64
351,Cyan Dye,6,64
351,Light Gray Dye,7,64
351,Gray Dye,8,64
351,Pink Dye,9,64
351,Lime Dye,10,64
351,Dandelion Yellow,11,64
351,Light Blue Dye,12,64
351,Magenta Dye,13,64
351,Orange Dye,14,64
351,Bone Meal,15,64
352,Bone,0,64
353,Sugar,0,64
354,Cake,0,1
355,Bed,0,1
356,Redstone Repeater,0,64
357,Cookie,0,8
358,Map,0,0
358,Map0,0,0
358,Map1,1,0
358,Map2,2,0
358,Map3,3,0
358,Map4,4,0
359,Shears,0,0
360,Melon (Slice),0,64
361,Pumpkin Seeds,0,64
362,Melon Seeds,0,64
363,Raw Beef,0,64
364,Steak,0,64
365,Raw Chicken,0,64
366,Cooked Chicken,0,64
367,Rotten Flesh,0,64
368,Ender Pearl,0,64
369,Blaze Rod,0,64
370,Ghast Tear,0,64
371,Gold Nugget,0,64
372,Nether Wart,0,64
374,Glass Bottle,0,64
375,Spider Eye,0,64
376,Fermented Spider Eye,0,64
377,Blaze Powder,0,64
378,Magma Cream,0,64
380,Cauldron,0,64
381,Eye of Ender,0,64
382,Glistering Melon,0,64
383,Spawn Blaze,61,1
383,Spawn Cave Spider,59,1
383,Spawn Chicken,93,1
383,Spawn Cow,92,1
383,Spawn Creeper,50,1
383,Spawn Enderman,58,1
383,Spawn Ghast,56,1
383,Spawn Magma Cube,62,1
383,Spawn Mooshroom,96,1
383,Spawn Pig Zombie,57,1
383,Spawn Pig,90,1
383,Spawn Skeleton,51,1
383,Spawn Sheep,91,1
383,Spawn Silverfish,60,1
383,Spawn Slime,55,1
383,Spawn Spider,52,1
383,Spawn Squid,94,1
383,Spawn Villager,120,1
383,Spawn Wolf,95,1
383,Spawn Zombie,54,1
2256,Gold Music Disc,0,1
2257,Green Music Disc,0,1
2256,Music Disc 13,0,1
2257,Music Disc cat,0,1
2258,Music Disc blocks,0,1
2258,Music Disc chirp,0,1
2259,Music Disc far,0,1
2260,Music Disc mall,0,1
2261,Music Disc mellohi,0,1
2262,Music Disc stal,0,1
2263,Music Disc strad,0,1
2264,Music Disc ward,0,1
2265,Music Disc 11,0,1
